goal,element,community_stewardship,sp_OHA_culture,po_water,watershed_partnerships,hd_MPA_3nm,hd_MPA_eez,hd_habitat,sp_alien_species,fp_MPA_3nm,fp_MPA_eez,fp_habitat,fp_mora,fp_mora_artisanal,g_tourism,g_mariculture,g_msi_gov,g_cites,species_diversity_3nm,species_diversity_eez,wgi_all,res_spi,li_economic_index,li_gci,li_sector_evenness
AO,,x,,,,x,,x,,x,,x,x,,,,,,x,,,,,,
CP,reef,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,
CP,beach,x,x,,,x,,x,,,,,,,,,,,,,,,,,
CP,wetland,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,
CS,wetland,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,
CW,,x,,x,,,,,,,,,,,,,,,,,,,,,
ECO,,,,,,,,,,,,,,,,,,,,,,,x,x,
FIS,,,,,,,x,x,,,x,x,x,x,,,,,,x,,,,,
HAB,reef,x,x,x,x,x,,x,,x,,x,,x,x,x,,,x,,,,,,
HAB,wetland,x,x,x,x,x,,x,,,,,,,x,x,,,x,,,,,,
HAB,watershed,x,x,x,x,x,,x,,,,,,,x,x,,,x,,,,,,
HAB,beach,x,x,,,,,,,,,,,,x,x,,,,x,,,,,
HAB,soft_bottom,x,x,x,,,x,x,,,x,x,x,,x,x,,,,x,,,,,
ICO,,x,x,x,,,x,x,,,x,x,x,x,,,,x,,x,,,,,
SPP,,x,x,x,,,x,x,,,x,x,x,x,x,x,,x,,,,,,,
LIV,,,,,,,,,,,,,,,,,,,,,,,x,x,x
LSP,,x,x,x,,,,x,,,,,,,,,,,,,,,,,
MAR,,x,,x,,,,,,,,,,,,x,x,,,,,,,,
NP,corals,,,x,x,x,,x,,,,,,,,,,x,x,,,,,,
NP,fish_oil,,,x,,,x,x,,,x,x,x,,,,,x,,x,,,,,
NP,ornamentals,,,x,x,x,,x,,x,,x,,x,,,,x,x,,,,,,
NP,seaweeds,,,x,x,,,,,,,,,,,,,x,x,,,,,,
NP,sponges,,,,x,x,,x,,,,,,,,,,x,x,,,,,,
TR,,,,x,x,,,,,,,,,,,,,,,,,,,,
RC,,,,x,x,,,,,,,,,,,,,,,,,,,,
